Review,Cleaned_review
"✅Trip Verified|   Delay a flight 6 times before announcing a cancel, with customer service having no idea of the status of the pilots coming in. Making baggage claim so late (by not sending a team to a flight that had been delayed then cancelled over ten hours) that it was impossible to book a hotel. Vaguely saying ""we'll give you a voucher"" and bailing on you. No real updates. Why not cancel the flight earlier, or release our baggage? Was it worth the slim shot at saving the $600 for passenger comp? Sending baggage onwards without checking in or asking. I waited 4 hours to make sure my baggage is secure, only to have it shipped in front of me ruining the whole point. In two separate points. One agent telling me that they don't care in domestic about bags, so keep it tight with you (why I stayed an extra 4 hours or so) - just to have Air Canada say YOLO and ship it onwards. Not even having the presence of mind to hand out food, food vouchers, anything after passengers were placed in a hot plane, deplaned, and made to stand for 10 hours+. This could have been the easiest token. Having super long lines at every step of the process and being understaffed. For example, the baggage claim line had three people at the counter, and one person checking or doing something while dozens of passengers were waiting in line. Full hands on deck? Not the case with Air Canada, by understaffing. I generally blame management for putting staff and passengers in this situation - that said, some staff members were supremely unhelpful in a way that boggles the mind. Why even make gate announcements if you work for the company and literally have no better idea than any of us what is going on? Is checking who is ""priority"" really the best way you can use your time given a baggage line that runs hours on average? Is it impossible to anticipate a situation like this and having agents be reachable in some way? Not a great time to have only 2-3 people operate a counter when the line is like 800 deep? One thing that stood out is that this seemed uniquely bad for Air Canada. This is very surprising, because airlines like Flair and Westjet have much worse reputations. But from what I could observe, all Air Canada flights were affected.",delay flight time announc cancel custom servic idea statu pilot come make baggag claim late send team flight delay cancel ten hour imposs book hotel vagu say give voucher bail real updat cancel flight earlier releas baggag worth slim shot save passeng comp send baggag onward without check ask wait hour make sure baggag secur ship front ruin whole point two separ point one agent tell care domest bag keep tight stay extra hour air canada say yolo ship onward even presenc mind hand food food voucher anyth passeng place hot plane deplan made stand hour could easiest token super long line everi step process understaf exampl baggag claim line three peopl counter one person check someth dozen passeng wait line full hand deck case air canada understaf gener blame manag put staff passeng situat said staff member suprem unhelp way boggl mind even make gate announc work compani liter better idea us go check prioriti realli best way use time given baggag line run hour averag imposs anticip situat like agent reachabl way great time peopl oper counter line like deep one thing stood seem uniqu bad air canada surpris airlin like flair westjet much wors reput could observ air canada flight affect
"✅Trip Verified|   This is the worst airline in the world. Never on time, service is awful, and my plane was delayed 5 times.",worst airlin world never time servic aw plane delay time
"Not Verified|   Airline is strict with carryon limit, size (even if 1 inch off), so be aware. They demanded I check in bag (w/$35 fee) and made a scene of it (while we were completely silent. Then, checked our bag into someone else's itinerary, delaying arrival of baggage for 1.5 days. Finally refunded the $35 fee but am still waiting for incidentals costs (which I'm not expecting to get - simple night wear, toothbrush, etc.). Then, to top it off, they lost our luggage again for 1 day on our return trip (home). No incidentals incurred this time, but we got our $35 luggage fee back on that one too but within reasonable time. Both of those fees should be refunded immediately without the extra work of filing out forms online, then waiting before receiving. That was our first trip with Air Canada. On the plus side, entertainment and flight crew were excellent (beyond other airline experiences). It took awhile to get our drinks, but I believe that was due to turbulence.",verifi airlin strict carryon limit size even inch awar demand check bag w fee made scene complet silent check bag someon els itinerari delay arriv baggag day final refund fee still wait incident cost expect get simpl night wear toothbrush etc top lost luggag day return trip home incident incur time got luggag fee back one within reason time fee refund immedi without extra work file form onlin wait receiv first trip air canada plu side entertain flight crew excel beyond airlin experi took awhil get drink believ due turbul
Not Verified|   A review to agent Marta at the customer service desk for Air Canada who was so kind to us as we arrived needing help to ensure our delayed flight would not impact our connecting flight. She was thoughtful and took initiative to help us get our bags taken care of and reassure us that it would be okay. This is the kind of service anyone would ask for and really appreciate Marta from Air Canada.,verifi review agent marta custom servic desk air canada kind us arriv need help ensur delay flight would impact connect flight thought took initi help us get bag taken care reassur us would okay kind servic anyon would ask realli appreci marta air canada
"✅Trip Verified| On the way to Istanbul the flight from Orlando was delayed, I couldn’t make my connection. Finally arrived to Istanbul for a major oral surgery. Bags never arrived until 3 days later. No assistance whatsoever with that. On the way back, August 14th, I head to the airport 3 hours before the departure time. At the counter I am told that my name is nowhere to be found, I have all the confirmation numbers needed. I had my father contact Air Canada from the US knowing that I had no other way to communicate with them. They tell me that the flight should be good and there is no problem. I go back to the counter. Same thing I don’t exist. I was told that they can see the Paris to Montreal portion but no Istanbul to Paris. Father on the phone for a very long time with Air Canada. No help. The flight has departed. Stranded in Istanbul Air Canada had the guts to ask me for $1700 to fly back the following day. Absolutely disgusting. Here I am stuck in a foreign country, with only a couple large bills on me. And they are asking me for $1700 and that there is nothing they do about it. After numerous calls I was able to find a family member who purchased a one was ticket for me for $1398. What’s else can I say? I am shocked and disgusted. Totally unacceptable.",way istanbul flight orlando delay make connect final arriv istanbul major oral surgeri bag never arriv day later assist whatsoev way back august th head airport hour departur time counter told name nowher found confirm number need father contact air canada us know way commun tell flight good problem go back counter thing exist told see pari montreal portion istanbul pari father phone long time air canada help flight depart strand istanbul air canada gut ask fli back follow day absolut disgust stuck foreign countri coupl larg bill ask noth numer call abl find famili member purchas one ticket els say shock disgust total unaccept
"✅Trip Verified| Had more than 15 hours flight, I couldn’t book halal meal in time so requested crew for vegetarian or seafood meals if possible, they bluntly refused and I couldn’t eat anything in entire flight, in the later leg I learned that they even had some vegetarian meals available but didn’t bother to offer anything, 15 hours without food with a very rude and unapologetic crew who even avoid eye contact and are reluctant to come to your seats for hours when you try calling them, it was a nightmare.",hour flight book halal meal time request crew vegetarian seafood meal possibl bluntli refus eat anyth entir flight later leg learn even vegetarian meal avail bother offer anyth hour without food rude unapologet crew even avoid eye contact reluct come seat hour tri call nightmar
"✅Trip Verified|   Service just gets worse. Delays on almost every flight with the odd cancellation thrown in. Planes are old, cabins are tired, food generally poor - breakfast hasn't changed in over a decade. Seems like the goal is to pack the planes and get away with the absolute minimum service standard.  Mostly a different, and better, story pre-covid...",servic get wors delay almost everi flight odd cancel thrown plane old cabin tire food gener poor breakfast chang decad seem like goal pack plane get away absolut minimum servic standard mostli differ better stori pre covid
"✅Trip Verified| As AC 75k member, I always love the seating and entertainment systems in the long route. It is very consistent layout across all business class (signature class). Some other airlines you need to be careful which exact aircraft you are flying so you get different layout etc. The only thing I hope Air Canada can improve is the food selection. Compared with other asian airlines, the food selection is very limited.",ac k member alway love seat entertain system long rout consist layout across busi class signatur class airlin need care exact aircraft fli get differ layout etc thing hope air canada improv food select compar asian airlin food select limit
"✅Trip Verified|   When i got to the airport i went to the first counter and the lady wanted to charge me extra money because my bag was 12lbs overweight. I took my leather jacket out and some books i didn't need bag was good now. My luggage went to prince Rupert, two days later i finally got my luggage, unfortunately my work gear was in luggage and I missed one day of work because i needed special gear to be on site. I  emailed air Canada tried to call just kept getting the runaround, its been almost two weeks and i haven't heard from anyone.",got airport went first counter ladi want charg extra money bag lb overweight took leather jacket book need bag good luggag went princ rupert two day later final got luggag unfortun work gear luggag miss one day work need special gear site email air canada tri call kept get runaround almost two week heard anyon
"Not Verified| AIR CANADA decided on the spot to cancel the connecting flight from Toronto to Washington DC on July 17th 2024 afternoon. When arriving to Toronto from Calgary on July 17th, the connecting flight was on the board saying ""on-time"". About one hour before the scheduled departure, it changed to ""delay 30 min"" and about 20 minutes later changed again to ""flight cancelled"". Checking at the gate what's going on, AIR CANADA person told us there is a weather issue - this why the flight is cancelled. The weather that afternoon in Toronto was perfect! Checking later what was the weather in the destination airport - DCA, shows that at the timeframe we were suppose to arrive to DCA (between 6 pm to 12 pm) about 15 -20 other flights from different airlines arrived and landed safely - so there was no significant major weather blocking this flight from taking place due to weather at the destination either. This was a complete fake excuse made by AIR CANADA, not to operate this flight. Obviously nobody from AIR CANADA gives any explanation or a proof. They just announce it and we - the passengers - can do nothing about it. But - this was only the beginning. Air CANADA didn't offer any solution for this flight passengers, no compensation, no hotel, no meal - not even a glass of water. The option given was to take this flight after 28 hours from the original departure time (just for part of the people - others got nothing). Actually, they kind of ""celebrated"" the event. ""This is a Weather case, so we owe nothing to the passengers, this is our regulations, good luck for you"" Anyway, this was just a one hour flight +/-, so we decided to rent a car and drive the 8 hours distance and took a hotel for a night sleep on the way, since we had hard obligations for the next day in Washington DC. The rudest and most annoying response from Air CANADA after all this, is that they refuse to pay back the extra expenses taken by us to reach our destination, due to this irresponsible and unloyalty behaviour of AIR CANADA. Bottom line - AIR CANADA has cancelled a flight on the spot without any justified reason, without giving a reasonable alternative solution and refuse to pay back any compensation or expense to the passengers.",air canada decid spot cancel connect flight toronto washington dc juli th afternoon arriv toronto calgari juli th connect flight board say time one hour schedul departur chang delay min minut later chang flight cancel check gate go air canada person told us weather issu flight cancel weather afternoon toronto perfect check later weather destin airport dca show timefram suppos arriv dca pm pm flight differ airlin arriv land safe signific major weather block flight take place due weather destin either complet fake excus made air canada oper flight obvious nobodi air canada give explan proof announc passeng noth begin air canada offer solut flight passeng compens hotel meal even glass water option given take flight hour origin departur time part peopl other got noth actual kind celebr event weather case owe noth passeng regul good luck anyway one hour flight decid rent car drive hour distanc took hotel night sleep way sinc hard oblig next day washington dc rudest annoy respons air canada refus pay back extra expens taken us reach destin due irrespons unloyalti behaviour air canada bottom line air canada cancel flight spot without justifi reason without give reason altern solut refus pay back compens expens passeng
"Not Verified| Atrocious, I have never been more frustrated by an airline. The delays I can understand, but my bags also never making it onto my initial flight (now lost) and now added layovers and over 12 hours in added travel time, I am so sick and tired of this happening every time I seem to travel with Air Canada. Never again, please fly Westjet.",atroci never frustrat airlin delay understand bag also never make onto initi flight lost ad layov hour ad travel time sick tire happen everi time seem travel air canada never pleas fli westjet
